	r	g	b
1	0	0	1
2	0.02	0.028012	1
3	0.04	0.055648	1
4	0.06	0.082908	1
5	0.08	0.109792	1
6	0.1	0.1363	1
7	0.12	0.162432	1
8	0.14	0.188188	1
9	0.16	0.213568	1
10	0.18	0.238572	1
11	0.2	0.2632	1
12	0.22	0.287452	1
13	0.24	0.311328	1
14	0.26	0.334828	1
15	0.28	0.357952	1
16	0.3	0.3807	1
17	0.32	0.403072	1
18	0.34	0.425068	1
19	0.36	0.446688	1
20	0.38	0.467932	1
21	0.4	0.4888	1
22	0.42	0.509292	1
23	0.44	0.529408	1
24	0.46	0.549148	1
25	0.48	0.568512	1
26	0.5	0.5875	1
27	0.52	0.606112	1
28	0.54	0.624348	1
29	0.56	0.642208	1
30	0.58	0.659692	1
31	0.6	0.6768	1
32	0.62	0.693532	1
33	0.64	0.709888	1
34	0.66	0.725868	1
35	0.68	0.741472	1
36	0.7	0.7567	1
37	0.72	0.771552	1
38	0.74	0.786028	1
39	0.76	0.800128	1
40	0.78	0.813852	1
41	0.8	0.8272	1
42	0.82	0.840172	1
43	0.84	0.852768	1
44	0.86	0.864988	1
45	0.88	0.876832	1
46	0.9	0.8883	1
47	0.92	0.899392	1
48	0.94	0.910108	1
49	0.96	0.920448	1
50	0.98	0.930412	1
51	1	0.94	1
52	1	0.930412	0.98
53	1	0.920448	0.96
54	1	0.910108	0.94
55	1	0.899392	0.92
56	1	0.8883	0.9
57	1	0.876832	0.88
58	1	0.864988	0.86
59	1	0.852768	0.84
60	1	0.840172	0.82
61	1	0.8272	0.8
62	1	0.813852	0.78
63	1	0.800128	0.76
64	1	0.786028	0.74
65	1	0.771552	0.72
66	1	0.7567	0.7
67	1	0.741472	0.68
68	1	0.725868	0.66
69	1	0.709888	0.64
70	1	0.693532	0.62
71	1	0.6768	0.6
72	1	0.659692	0.58
73	1	0.642208	0.56
74	1	0.624348	0.54
75	1	0.606112	0.52
76	1	0.5875	0.5
77	1	0.568512	0.48
78	1	0.549148	0.46
79	1	0.529408	0.44
80	1	0.509292	0.42
81	1	0.4888	0.4
82	1	0.467932	0.38
83	1	0.446688	0.36
84	1	0.425068	0.34
85	1	0.403072	0.32
86	1	0.3807	0.3
87	1	0.357952	0.28
88	1	0.334828	0.26
89	1	0.311328	0.24
90	1	0.287452	0.22
91	1	0.2632	0.2
92	1	0.238572	0.18
93	1	0.213568	0.16
94	1	0.188188	0.14
95	1	0.162432	0.12
96	1	0.1363	0.1
97	1	0.109792	0.08
98	1	0.082908	0.06
99	1	0.055648	0.04
100	1	0.028012	0.02
101	1	0	0
